SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_date,mean_sentiment,min_sentiment,max_sentiment,pos_share,neg_share,post_count,avg_delta_days,min_delta_days,max_delta_days,has_sentiment_data
22022,1628378,22200008,"OCT 19, 2022",CLE @ TOR,L,35,12,21,0.571,2,8,0.25,5,6,0.833,0,2,2,9,2,0,3,4,31,10,1,2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200032,"OCT 22, 2022",CLE @ CHI,W,35,10,19,0.526,4,6,0.667,8,9,0.889,3,6,9,8,1,0,4,3,32,19,1,2022-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200039,"OCT 23, 2022",CLE vs. WAS,W,45,12,29,0.414,5,12,0.417,8,9,0.889,2,3,5,4,3,1,6,2,37,4,1,2022-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200056,"OCT 26, 2022",CLE vs. ORL,W,37,5,19,0.263,1,7,0.143,3,4,0.75,2,2,4,8,2,0,1,3,14,9,1,2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200072,"OCT 28, 2022",CLE @ BOS,W,46,15,25,0.6,5,9,0.556,6,6,1.0,0,4,4,3,1,0,7,4,41,18,1,2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200090,"OCT 30, 2022",CLE vs. NYK,W,37,12,20,0.6,8,13,0.615,6,8,0.75,0,3,3,12,1,2,4,4,38,18,1,2022-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200107,"NOV 02, 2022",CLE vs. BOS,W,44,11,27,0.407,3,9,0.333,0,0,0.0,0,4,4,6,1,2,0,3,25,-3,1,2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200140,"NOV 06, 2022",CLE @ LAL,W,37,10,17,0.588,1,7,0.143,12,13,0.923,1,4,5,2,1,1,3,1,33,6,1,2022-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200158,"NOV 07, 2022",CLE @ LAC,L,39,10,15,0.667,8,11,0.727,2,3,0.667,0,1,1,2,0,0,3,5,30,-2,1,2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628378,22200171,"NOV 09, 2022",CLE @ SAC,L,39,16,28,0.571,6,14,0.429,0,0,0.0,3,2,5,4,1,0,3,3,38,-8,1,2022-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
