SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_date,mean_sentiment,min_sentiment,max_sentiment,pos_share,neg_share,post_count,avg_delta_days,min_delta_days,max_delta_days,has_sentiment_data
22022,1628973,22200009,"OCT 19, 2022",NYK @ MEM,L,36,7,18,0.389,1,4,0.25,0,0,0.0,2,4,6,9,0,0,0,3,15,3,1,2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200023,"OCT 21, 2022",NYK vs. DET,W,28,6,11,0.545,2,4,0.5,3,5,0.6,0,2,2,6,1,0,0,2,17,3,1,2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200046,"OCT 24, 2022",NYK vs. ORL,W,33,8,16,0.5,2,4,0.5,3,3,1.0,0,3,3,6,2,0,3,5,21,17,1,2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200058,"OCT 26, 2022",NYK vs. CHA,W,41,10,15,0.667,2,5,0.4,5,5,1.0,0,7,7,13,1,1,3,2,27,7,1,2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200075,"OCT 28, 2022",NYK @ MIL,L,33,3,10,0.3,1,4,0.25,6,9,0.667,0,3,3,2,1,0,3,3,13,-19,1,2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200090,"OCT 30, 2022",NYK @ CLE,L,34,8,19,0.421,0,3,0.0,0,1,0.0,0,4,4,7,3,0,1,2,16,2,1,2022-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200110,"NOV 02, 2022",NYK vs. ATL,L,31,8,15,0.533,1,4,0.25,3,4,0.75,0,1,1,5,0,1,3,2,20,-4,1,2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200122,"NOV 04, 2022",NYK @ PHI,W,36,7,15,0.467,1,4,0.25,8,9,0.889,1,5,6,7,0,0,1,3,23,11,1,2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200135,"NOV 05, 2022",NYK vs. BOS,L,33,10,17,0.588,0,2,0.0,2,2,1.0,0,3,3,10,0,0,0,1,22,-3,1,2022-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
22022,1628973,22200153,"NOV 07, 2022",NYK @ MIN,W,34,9,14,0.643,2,5,0.4,3,3,1.0,1,4,5,8,0,0,3,3,23,5,1,2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
